subject,r_d_25%_25%,r_d_25%_75%,r_d_75%_25%,r_d_75%_75%,r_n_25%_25%,r_n_25%_75%,r_n_75%_25%,r_n_75%_75%,s_d_25%_25%,s_d_25%_75%,s_d_75%_25%,s_d_75%_75%,s_n_25%_25%,s_n_25%_75%,s_n_75%_25%,s_n_75%_75%
sub1,1326.090909090909,836.7272727272727,1043.4166666666667,966.9166666666666,866.4166666666666,841.9090909090909,898.6666666666666,832.5,1314.6,1048.4545454545455,1093.909090909091,1082.0833333333333,1082.8,910,848.3333333333334,1002.1666666666666
sub10,1466.6363636363637,1803.888888888889,1535.090909090909,1616.4166666666667,1332.75,1615.090909090909,1449.9166666666667,1441.5,1517.3333333333333,1674.2,1671.4545454545455,1552.2,1458.6363636363637,1717.3333333333333,1727.5454545454545,1589.3333333333333
sub11,1496.375,1534.5,1555.125,1446.9166666666667,1285.5555555555557,1493.6363636363637,1696.111111111111,1284,1348.888888888889,1613.1818181818182,1320.375,1567.857142857143,1542.5714285714287,1409.6,1392.7777777777778,1346.8333333333333
sub12,1574.25,1455.090909090909,1540.75,1704.1666666666667,1479.25,1442.8181818181818,1467.2727272727273,1570.75,1954.6666666666667,1475.5454545454545,1605.4,1709.111111111111,1644.25,1392.4,1332.5,1669.1818181818182
sub13,1196,1491.7272727272727,1394.9166666666667,1397.4166666666667,1176.1818181818182,1243.5,1187.75,1265.9166666666667,1414.75,1473.4285714285713,1655.3333333333333,1422,1225.8181818181818,1564.1818181818182,1362.5,1359.8
sub14,1020.5454545454545,1195.375,1242.0833333333333,1189.6666666666667,959.8181818181819,1092.625,954.1666666666666,989.75,1103.5,1224.9,981.9,1372.6666666666667,869.9090909090909,1151,1018.9166666666666,1169.7
sub15,1325.090909090909,991.2727272727273,1485.1666666666667,1470.0833333333333,972.6363636363636,794.5,1147.3333333333333,1232.4166666666667,1356.7272727272727,1174.5454545454545,1358.8333333333333,1372.6666666666667,1177.5454545454545,897.3333333333334,1274.3636363636363,1173.1666666666667
sub16,1359.75,1138.25,1352.5454545454545,1164.6666666666667,1321.9166666666667,895.6666666666666,1235.1666666666667,1179.6666666666667,1457.8,1043.9166666666667,1299.5833333333333,1219.8333333333333,1224.7,1088.4166666666667,1136.4166666666667,1074
sub17,866.4545454545455,897.0909090909091,1166.2727272727273,1046.5454545454545,611.6666666666666,839.8,893.75,626.4166666666666,810.3636363636364,813.9,1175,880,821.6,965.5454545454545,1184.5454545454545,845.0909090909091
sub18,1179.0833333333333,1120.6666666666667,1251.5,1058.1818181818182,952.5454545454545,1089.5833333333333,1097,984.25,1192.3333333333333,1177,1333.4166666666667,1133.5,1123,1222.5454545454545,1184.5,1159.75
sub19,1226.4444444444443,1273.6666666666667,1396.0833333333333,1238.909090909091,1242.5,1202.75,1119.1818181818182,1042.888888888889,1358.6,1360.7272727272727,1330.1,1165.8333333333333,1215.1666666666667,1175.5454545454545,1411.4,1128.6363636363637
sub2,1193,1035.1818181818182,1290.4166666666667,1007,1003.5454545454545,1114.9166666666667,1024.2727272727273,1043.5,1270.4,1308.3333333333333,1248.6666666666667,1270,1187.25,1171.8,1234.4166666666667,1226.5
sub20,1534.3636363636363,1702.3333333333333,1337.8333333333333,1428.5454545454545,1369.6666666666667,1365.111111111111,1308.5833333333333,1558.6363636363637,1531.909090909091,1590.888888888889,1443.4166666666667,1695.6363636363637,1523.1818181818182,1630.25,1289.7777777777778,1528.7
sub21,1215.3636363636363,1375.8333333333333,1345.1666666666667,1331.4166666666667,979.4166666666666,1177.75,1147.25,1084.090909090909,1181.5833333333333,1524.8333333333333,1369.25,1321.6666666666667,1200,1426,1379.25,1346.0833333333333
sub22,1155.8181818181818,896.7272727272727,1330.5833333333333,860.1666666666666,792.25,919.9166666666666,1010.5833333333334,1005.1666666666666,1132.75,1230.6666666666667,1267.5833333333333,1262.3636363636363,979.0833333333334,1074.5833333333333,833,1112.3636363636363
sub23,1628.5,1396.25,1666,1590.1818181818182,1540.25,1467.5,1613.5,1584.2,1776,1578.5,1671.7,1670,1596.090909090909,1499.625,1603.9,1635.7777777777778
sub24,1444,1649,1388.090909090909,1582.3636363636363,1313,1244.7272727272727,1353.4545454545455,1281.3636363636363,1378.3636363636363,1550.75,1572,1334.5833333333333,1542.1818181818182,1499,1435.7,1397.8333333333333
sub25,1102.25,1048.75,1050.3333333333333,1001.9,941.5833333333334,956,907.25,883.5833333333334,1169.5,997.2727272727273,1260.75,1105.5454545454545,1055.5833333333333,961.6363636363636,998.9090909090909,1017.8333333333334
sub26,871,733.4166666666666,707.9090909090909,979.2727272727273,697.2727272727273,685.0909090909091,732,925.0833333333334,1022.25,901.25,874.4,998.8333333333334,865.5,786.1666666666666,776.25,952.7272727272727
sub27,1162,1386,1507.6666666666667,1261.2727272727273,1257.4166666666667,1180.090909090909,1259.9166666666667,1184.25,1534,1604.6,1592.875,1360.3636363636363,1324.3,1431,1547.909090909091,1197
sub28,1485.909090909091,1319.888888888889,1213,1012,1272.0833333333333,1225.7,1365.8181818181818,1127.2222222222222,1568.875,1256.7777777777778,1339.3,1166,1407.4166666666667,1152.2,1199.3636363636363,1025.2857142857142
sub29,1084.2727272727273,932.3333333333334,881.3333333333334,1307,1119.909090909091,929.4166666666666,843,1236.6666666666667,1287.090909090909,1117,1178.1666666666667,1241.6666666666667,1071.1818181818182,1075.5833333333333,987.4166666666666,1171.4166666666667
sub3,1357.2,1681.6363636363637,1426.090909090909,1535.3636363636363,1289.5,1557.5,1358.3333333333333,1416.1818181818182,1378.2,1842.5,1584.1,1590,1223.625,1594.2222222222222,1355.5555555555557,1440.1
sub30,754.1818181818181,682.9166666666666,824.7272727272727,605.25,646.1666666666666,661.3333333333334,832.5,581.6666666666666,680.3636363636364,734.5833333333334,913.7272727272727,663.9090909090909,658.25,738.1111111111111,841.5833333333334,634.4166666666666
sub31,1785.909090909091,1319,1529.0833333333333,1261.7,1604.9,1198.1818181818182,1325.0833333333333,1457.8181818181818,1709.7142857142858,1438.4,1639.6363636363637,1525.909090909091,1631.090909090909,1321.5,1410,1257.4166666666667
sub32,1408.6666666666667,1334.1818181818182,1487.7272727272727,1684.5833333333333,1304.3333333333333,1283.25,1194.4166666666667,1459,1784.25,1570.5,1568,1607.6,1586.3333333333333,1504.7142857142858,1336.6363636363637,1510.9
sub33,1472.4545454545455,1539.75,1756.4545454545455,1413.8181818181818,1418.3636363636363,1341.3636363636363,1618.5833333333333,1428.2,1529.8181818181818,1690.6363636363637,1755.090909090909,1567.909090909091,1545,1575.3333333333333,1715.3636363636363,1563.8181818181818
sub34,1627.9,1232,1282,1837.7142857142858,1319.1818181818182,1271.3333333333333,1207.3,1475.111111111111,1565,1688.4,1287.5,1899.8,1448.4545454545455,1393.6666666666667,1296.7777777777778,1389.875
sub35,1120.090909090909,1358.9,1078.6,1270.75,1084.6666666666667,1328.8333333333333,1175.8333333333333,1361.4166666666667,1087.2,1319.25,1281.1,1351.25,1156.3333333333333,1535.75,1299.9,1438.6
sub36,1645.9,1421.3636363636363,1440.4,1404.1,1600,1435.75,1597.5,1621.4545454545455,1549.888888888889,1592.3333333333333,1894.090909090909,1515.3333333333333,1653.3333333333333,1648.8181818181818,1682.125,1616.888888888889
sub37,915.6363636363636,895.75,812.75,908.5454545454545,721.1666666666666,694.3333333333334,713.75,930,961,858.25,880.4166666666666,952.8181818181819,782,732.8333333333334,716,889.0833333333334
sub38,1127.75,1354,1205.5,1359.75,1057.4166666666667,1074.3636363636363,1362.9,1333.5,1289.7777777777778,1048.6666666666667,1271.090909090909,1312.75,1010,947.8333333333334,1163.7272727272727,1270.75
sub39,723.6666666666666,793.8333333333334,784.4444444444445,836.8333333333334,687.4545454545455,664.3333333333334,755,695.8181818181819,914.0833333333334,888.4166666666666,816.5454545454545,882.1818181818181,743,825,844.6363636363636,876.0909090909091
sub4,961.25,1066.9166666666667,1194.0833333333333,1118.1666666666667,864.5,871.3333333333334,976.9166666666666,1060.9166666666667,1094.5833333333333,1260.25,1344.6666666666667,1001.75,992.1666666666666,1173,1046.25,1058.4166666666667
sub40,893.1818181818181,1049.3333333333333,1306.75,958.8333333333334,851.6363636363636,925.4166666666666,849.5833333333334,810.3333333333334,1032.7272727272727,1113.4545454545455,1108,990,1018.1666666666666,1069.2727272727273,1258.75,1007.9166666666666
sub41,848.75,1165.5833333333333,1091.4166666666667,1065,903.5,990.5,887.6666666666666,909.5833333333334,1155.0833333333333,1227.25,1131.3333333333333,966.1666666666666,861.3,1137.8181818181818,921.8333333333334,913.0833333333334
sub42,1795.4545454545455,1544,1386.9166666666667,1878.4,1412.0833333333333,1270.5833333333333,1232.9166666666667,1757.909090909091,1489.1666666666667,1572.4545454545455,1553.4,2005.5454545454545,1567.090909090909,1403.090909090909,1435.3636363636363,1928.625
sub43,2032.8,1756.75,1957.7,1777.2222222222222,1778.3333333333333,1745.6363636363637,1844,1941,1880.7142857142858,1862.4,1860,1814,1841.8,1889,1888.3333333333333,1866
sub44,898.25,841,1297.5454545454545,834.6666666666666,642.1666666666666,884.1666666666666,1067.8181818181818,756.8333333333334,1152.6,1088.9166666666667,1519.111111111111,776.5,730.9090909090909,840.4545454545455,1130.6666666666667,752.75
sub45,1378.5,1453.5,1504.7777777777778,1423.6666666666667,1288.25,1191.090909090909,1174.5,1289.6363636363637,1366.0833333333333,1428.5,1451.5454545454545,1299.8333333333333,1236,1507.5,1420.625,1237
sub46,1751.4,1336.3333333333333,1537.909090909091,1333.5454545454545,1489,1311,1251.8181818181818,1208.75,1651.875,1501,1694,1547.25,1623.6363636363637,1282.0833333333333,1584.4285714285713,1313.6666666666667
sub47,1367.25,1254.5833333333333,1525.5,1443.5,1094.5454545454545,1124,1416.1818181818182,1127.25,1359.6363636363637,1431.6,1382.2727272727273,1348.1818181818182,1219.3,1369.6666666666667,1322.9166666666667,1161.7272727272727
sub48,1305.8333333333333,1494.4545454545455,1374,1480.3,1421.6363636363637,1416.6363636363637,1264.6,1211.4,1443.4545454545455,1409.9,1666.857142857143,1509.7777777777778,1344.5,1421.1,1307.75,1331.6
sub49,972.0833333333334,1169.2727272727273,1293.3333333333333,835,907.1666666666666,911.8333333333334,1045.2727272727273,724.1666666666666,996,1046.6,1343.3333333333333,886.75,968.0909090909091,1051.090909090909,1315.090909090909,712.3333333333334
sub5,1292.3636363636363,1173.8333333333333,1372.090909090909,1165.9166666666667,1003.5833333333334,918.5833333333334,869.7272727272727,885.9166666666666,1469.5,1080.3333333333333,1182.3333333333333,1211.25,1209.3636363636363,943.5833333333334,1063.6666666666667,937
sub50,1611.888888888889,1773.0833333333333,1936.8181818181818,1451.5,1433.5454545454545,1431.8333333333333,1857.9,1306.3636363636363,1820,1801.5555555555557,2015.2,1561.1,1716,1654.6363636363637,1807.4545454545455,1421.125
sub51,1811,1798.7777777777778,1988.8333333333333,1635.2727272727273,1713.909090909091,1388.7272727272727,1759.1818181818182,1440.3636363636363,2002.8,1858.3,1919.3636363636363,1674.888888888889,1784.2727272727273,1652.4545454545455,1829.6363636363637,1690.6363636363637
sub52,722.3333333333334,692.8333333333334,684,645.0833333333334,640.25,718.2,663.8333333333334,616.9166666666666,799.3333333333334,753.3333333333334,761.4166666666666,710.5833333333334,819.8181818181819,697.1666666666666,681.9,693.3333333333334
sub53,1566.125,1445.6363636363637,1327.1,1931,1265,1228.9166666666667,1305.1666666666667,1222.25,1546.9,1354.2,1611.7777777777778,1538.1818181818182,1411.111111111111,1354.6666666666667,1611.8181818181818,1765
sub54,885.2,1361.8181818181818,1286.5714285714287,1293.2727272727273,1041.6666666666667,1297.4545454545455,1033.8,1236.6363636363637,991.3333333333334,1560.8181818181818,1183.125,1490.4166666666667,917.25,1250,1201.5555555555557,1304.090909090909
sub55,817.0909090909091,1087.6666666666667,943.9166666666666,881.1666666666666,697.3333333333334,911.9,1043.1666666666667,953.0833333333334,787,1073.6666666666667,1223.75,1000.2727272727273,747.6666666666666,1171.5454545454545,1075.3333333333333,1108.1666666666667
sub56,1408.25,1517.090909090909,1790.5555555555557,1458.8333333333333,1209,1343.4166666666667,1450.3333333333333,1265.2727272727273,1547,1468.2727272727273,1494.2727272727273,1421,1336.7272727272727,1334.8,1433.5833333333333,1397.3
sub57,1101.090909090909,1077.9166666666667,1091.25,1091.6,994.9166666666666,848.5,912.7272727272727,1064.6666666666667,1097.0833333333333,1099.5454545454545,1296.5,1405.2222222222222,1027.6363636363637,993.9166666666666,1145.4166666666667,1076.1818181818182
sub58,1640.5,1442.6666666666667,1443.3333333333333,1390.1666666666667,1379.6363636363637,1410.5,1382.3636363636363,1412.2727272727273,1668.5,1451.3333333333333,1582.4,1540.8,1550.909090909091,1284.6,1606.9166666666667,1383.1666666666667
sub59,812.7272727272727,1037.5833333333333,873.3636363636364,829.8333333333334,757.7272727272727,1173.8,714.5833333333334,705.9166666666666,981.2727272727273,1135.25,1152.5454545454545,802.4166666666666,687.0909090909091,1201.25,780.1818181818181,970
sub6,737.1666666666666,977.4,828.75,905.8,814.8333333333334,823.7272727272727,725.1818181818181,790.1666666666666,811.75,942.8888888888889,810.0833333333334,832.75,713.25,1202.4,751.4545454545455,864.8181818181819
sub60,1282.2727272727273,1143.4444444444443,1315.4444444444443,1317.5833333333333,1450.1818181818182,1276.4545454545455,1330.090909090909,1278.8,1368.8,1151.5833333333333,1341.6363636363637,1350.5,1385.1,1110.1818181818182,1302.3636363636363,1183
sub7,990.3636363636364,1027.4166666666667,1338.5,893.1666666666666,880.6666666666666,892.4166666666666,1244,813.0909090909091,990.4,1075.3333333333333,1270.090909090909,1014.5454545454545,938.6666666666666,984.0833333333334,1327.5,1004.9
sub8,1469.6,1435.1666666666667,1425.25,1444.7272727272727,1306.9166666666667,1435.25,1468.2,1418.5454545454545,1490.5,1571.1818181818182,1399.2727272727273,1238.5,1518.909090909091,1366.3636363636363,1537.4,1366.1666666666667
sub9,905.6,858.7,684.75,920.3636363636364,704,703.4166666666666,747,785.8181818181819,929.7272727272727,910.8333333333334,987.4,1155.909090909091,944.4,782.9166666666666,807,958
